country,code,count
India,IND,82190
Philippines,PHL,36420
Indonesia,IDN,34811
Spain,ESP,33986
Bosnia and Herzegovina,BIH,29968
Canada,CAN,27044
Viet Nam,VNM,26132
Serbia,SRB,20700
United Kingdom of Great Britain and Northern Ireland,GBR,20194
Mexico,MEX,19039
Italy,ITA,17931
Venezuela (Bolivarian Republic of),VEN,17175
United States of America,USA,17095
Romania,ROU,16385
Croatia,HRV,12236
Portugal,PRT,10136
Brazil,BRA,9957
Pakistan,PAK,8660
Turkey,TUR,7603
Russian Federation,RUS,7104
Argentina,ARG,7060
Singapore,SGP,6499
Malaysia,MYS,6255
Greece,GRC,5823
Hungary,HUN,5321
Germany,DEU,5139
North Macedonia,MKD,4898
Chile,CHL,4146
Bulgaria,BGR,3825
Uruguay,URY,3824
Ireland,IRL,3180
Morocco,MAR,3020
United Arab Emirates,ARE,2862
Switzerland,CHE,2781
Poland,POL,2680
Netherlands,NLD,2525
Peru,PER,2362
Australia,AUS,2262
France,FRA,2260
Egypt,EGY,2257
Hong Kong,HKG,2140
Finland,FIN,2061
Israel,ISR,2011
Bangladesh,BGD,1940
Belgium,BEL,1901
Ukraine,UKR,1502
Slovakia,SVK,1462
Algeria,DZA,1321
Japan,JPN,1221
Estonia,EST,1181
Colombia,COL,1000
Uganda,UGA,820
Kenya,KEN,581
El Salvador,SLV,540
Sweden,SWE,520
Puerto Rico,PRI,420
Bahamas,BHS,260
South Africa,ZAF,260
Cyprus,CYP,200
Jordan,JOR,180
Latvia,LVA,100
Nepal,NPL,100
Dominican Republic,DOM,100
Kuwait,KWT,100
Austria,AUT,100
"Tanzania, United Republic of",TZA,100
