Year,Month,Day,airline_sentiment_gold,Total Sentiment Count
2015,2,16,neutral,120
2015,2,17,negative,12100
2015,2,17,neutral,45210
2015,2,18,negative,6290
2015,2,18,neutral,40260
2015,2,19,negative,8590
2015,2,19,neutral,41130
2015,2,19,positive,6020
2015,2,20,negative,12030
2015,2,20,neutral,47940
2015,2,21,negative,14540
2015,2,21,neutral,49520
2015,2,22,negative,18540
2015,2,22,neutral,92110
2015,2,22,positive,2980
2015,2,23,negative,15010
2015,2,23,neutral,90534
2015,2,23,positive,2920
2015,2,24,negative,878
2015,2,24,neutral,4017
2015,2,24,positive,297
2015,2,25,negative,878
2015,2,25,neutral,4009
2015,2,25,positive,297
2015,2,27,negative,878
2015,2,27,neutral,3996
2015,2,27,positive,297
2015,2,28,negative,878
2015,2,28,neutral,3992
2015,2,28,positive,297
2015,3,1,negative,878
2015,3,1,neutral,3990
2015,3,1,positive,297
2015,3,2,negative,878
2015,3,2,neutral,3978
2015,3,2,positive,297
2015,3,3,negative,878
2015,3,3,neutral,3980
2015,3,3,positive,297
2015,3,4,negative,878
2015,3,4,neutral,3976
2015,3,4,positive,297
2015,3,5,negative,878
2015,3,5,neutral,3980
2015,3,5,positive,297
2015,3,6,negative,878
2015,3,6,neutral,3930
2015,3,6,positive,297
